NacionalidadeEmbarcacao;Ano Acordo Bilateral;Total Acordo Bilateral;AcordoTipoNavegacao;País;FlagEmbarqueDesembarque
Não Informado;2012;259859;95;Longo Curso;ALEMANHA;1
Brasilieiras;2012;475171;224;Longo Curso;ALEMANHA;1
Estrangeiras;2012;2511445;485;Longo Curso;ALEMANHA;1
Estrangeiras;2012;3015982;925;Longo Curso;ARGÉLIA;1
Brasilieiras;2012;847405;222;Longo Curso;ARGÉLIA;1
Não Informado;2012;5124;41;Longo Curso;ARGÉLIA;1
Estrangeiras;2012;600398;262;Longo Curso;FRANÇA;1
Não Informado;2012;82814;704;Longo Curso;FRANÇA;1
Brasilieiras;2012;134780;959;Longo Curso;FRANÇA;1
Não Informado;2012;11026;225;Longo Curso;POLÔNIA;1
Estrangeiras;2012;614560;512;Longo Curso;POLÔNIA;1
Brasilieiras;2012;14378;995;Longo Curso;POLÔNIA;1
Estrangeiras;2012;536215;599;Longo Curso;PORTUGAL;1
Não Informado;2012;360294;555;Longo Curso;PORTUGAL;1
Brasilieiras;2012;178123;344;Longo Curso;PORTUGAL;1
Estrangeiras;2012;7381;943;Longo Curso;ROMÊNIA;1
Não Informado;2012;1177;2;Longo Curso;ROMÊNIA;1
Brasilieiras;2012;5958;387;Longo Curso;ROMÊNIA;1
Brasilieiras;2012;209931;034;Longo Curso;RUSSIA;1
Estrangeiras;2012;3106564;327;Longo Curso;RUSSIA;1
Não Informado;2012;89758;654;Longo Curso;RUSSIA;1
Estrangeiras;2012;23321386;907;Longo Curso;ESTADOS UNIDOS;1
Não Informado;2012;662586;265;Longo Curso;ESTADOS UNIDOS;1
Brasilieiras;2012;2342683;901;Longo Curso;ESTADOS UNIDOS;1
Estrangeiras;2012;1062135;78;Longo Curso;URUGUAI;1
Brasilieiras;2012;368043;66999998;Longo Curso;URUGUAI;1
Não Informado;2012;174797;232;Longo Curso;URUGUAI;1
Estrangeiras;2012;9672;814;Interior;URUGUAI;1
Estrangeiras;2012;6069060;501;Longo Curso;ARGENTINA;2
Brasilieiras;2012;1085764;111;Longo Curso;ARGENTINA;2
Estrangeiras;2012;4181363;794;Interior;ARGENTINA;2
Não Informado;2012;44939;830999999;Longo Curso;ARGENTINA;2
Brasilieiras;2012;72961;Interior;ARGENTINA;2
Não Informado;2012;752;757;Longo Curso;BULGÁRIA;2
Estrangeiras;2012;63279;328;Longo Curso;BULGÁRIA;2
Brasilieiras;2012;95;591;Longo Curso;BULGÁRIA;2
Brasilieiras;2012;145718;391;Longo Curso;CHILE;2
Estrangeiras;2012;867571;461;Longo Curso;CHILE;2
Não Informado;2012;935;41;Longo Curso;CHILE;2
Estrangeiras;2012;201870778;985;Longo Curso;CHINA;2
Brasilieiras;2012;3316894;209;Longo Curso;CHINA;2
Não Informado;2012;369238;17100002;Longo Curso;CHINA;2
Não Informado;2012;189277;913;Longo Curso;ALEMANHA;2
Brasilieiras;2012;604876;315;Longo Curso;ALEMANHA;2
Estrangeiras;2012;6737094;918;Longo Curso;ALEMANHA;2
Estrangeiras;2012;1746324;939;Longo Curso;ARGÉLIA;2
Não Informado;2012;894;5;Longo Curso;ARGÉLIA;2
Brasilieiras;2012;1215454;983;Longo Curso;ARGÉLIA;2
Não Informado;2012;40196;236;Longo Curso;FRANÇA;2
Brasilieiras;2012;328808;573;Longo Curso;FRANÇA;2
Estrangeiras;2012;11810714;239;Longo Curso;FRANÇA;2
Não Informado;2012;2987;779;Longo Curso;POLÔNIA;2
Estrangeiras;2012;159372;891;Longo Curso;POLÔNIA;2
